国家/地区,点击次数,展示,点击率,排名
印度,57,1020,5.59%,8.06
美国,44,2820,1.56%,12.01
英国,40,863,4.63%,10.18
法国,23,122,18.85%,5.23
德国,14,198,7.07%,11.89
俄罗斯,12,101,11.88%,8.58
沙特阿拉伯,12,56,21.43%,6.98
印度尼西亚,10,107,9.35%,7.05
巴西,9,103,8.74%,8.04
越南,8,237,3.38%,17.11
巴基斯坦,8,138,5.8%,8.18
孟加拉,8,107,7.48%,8.56
伊朗,8,48,16.67%,5.9
荷兰,6,153,3.92%,6.96
意大利,6,100,6%,7.08
西班牙,6,59,10.17%,10.19
希腊,6,49,12.24%,5.47
芬兰,6,42,14.29%,7.71
摩洛哥,6,39,15.38%,9.97
澳大利亚,5,188,2.66%,7.75
土耳其,5,65,7.69%,6.97
泰国,5,41,12.2%,7.34
白俄罗斯,5,17,29.41%,4.76
日本,4,106,3.77%,8.49
马来西亚,4,74,5.41%,8.31
乌克兰,4,42,9.52%,8.95
埃及,4,42,9.52%,10.17
丹麦,4,38,10.53%,5.55
比利时,4,38,10.53%,8.16
智利,4,14,28.57%,8.57
新加坡,3,90,3.33%,22.8
阿拉伯联合酋长国,3,74,4.05%,7.19
葡萄牙,3,62,4.84%,12.73
波兰,3,59,5.08%,7.05
中国香港,3,29,10.34%,6.38
韩国,3,24,12.5%,5.54
保加利亚,3,20,15%,5.95
突尼斯,3,15,20%,4.67
卡塔尔,3,10,30%,5.6
埃塞俄比亚,3,9,33.33%,3.78
斯洛伐克,3,8,37.5%,5.88
加拿大,2,297,0.67%,8.42
瑞典,2,63,3.17%,6.79
南非,2,50,4%,8.68
尼泊尔,2,36,5.56%,7.64
哥伦比亚,2,32,6.25%,8.28
奥地利,2,31,6.45%,10.84
中国,2,30,6.67%,7
以色列,2,29,6.9%,9.62
斯里兰卡,2,28,7.14%,7.32
哥斯达黎加,2,14,14.29%,5.29
爱沙尼亚,2,11,18.18%,4.36
波斯尼亚和黑塞哥维那,2,11,18.18%,4.91
阿曼,2,11,18.18%,8.18
乌干达,2,8,25%,6.25
斯洛文尼亚,2,5,40%,4.8
菲律宾,1,142,0.7%,7.96
爱尔兰,1,48,2.08%,7.33
墨西哥,1,40,2.5%,13.12
